,rx_sign,Count,gridRef
149,G4GCI,10,IO90gu
288,OH6AH,10,KP12kr
375,VE3OWV,10,FN15vk
114,F4JNI,10,JN24jk
234,M0KNC-RX,10,IO91hb
248,M7GAQE,10,IO90xx
363,SWL-JN44,9,JN44ar
112,F1JSC,9,JN03ge
63,DK8JP/3,9,JO31gk
354,R2BIY,8,KO85to
324,PA3GEO,8,JO21cj
393,YO3IVV,8,KN34ak
209,K3XT,8,FN14
379,W1BW,8,FN54nh
24,DC7JZB/1,7,JO62qj
163,G8PBJ,7,JO01hb
290,OH7FES,7,KP53bh
228,LB1R,7,JO49uq
376,VK3TPM,7,QF22ds
18,DB6WZ-SDR,7,JO32qd
25,DC7JZB/2,7,JO62ql
55,DK5HH/4,7,JO43jb
266,N8GA-1,7,EN80ee
367,SWL_IKHTIAR,7,JO89vg
232,M0GWC,6,IO80jq
239,M0XDC,6,JO01dq
6,2M0JAT,6,IO77vl
134,G0OHK,5,IO94fv
76,DL2PK/7,5,JO31ik
11,CT1EDG,5,IM58hr
330,PA5JAN,5,JO33kb
194,IQ5VK,5,JN52gw
127,F5AHD,5,JN37ro
57,DK6HS,5,JN39xd
92,DL9MG,5,JN49hp
210,K4DDI,5,EL95ux
251,M7TXP,5,IO92ob
250,M7JVF,5,IO91mw
262,N3AGE-0,5,FN30hw
176,GW8IKH,5,IO81iu
374,VE3EID,5,FN05gk
257,N0CALL,4,IO81vu
245,M7CBO,4,JO01nt
341,PD2BAS,4,JO22nf
380,W1FVB,4,FN44fl
240,M0ZRN,4,IO92xd
215,KB3EDF,4,FM18rh
196,IU5MQQ,4,JN53nu
30,DD9LH,4,JO44ne
94,DM1LGF,4,JO61gh
326,PA3WLE,4,JO22is
265,N4TVC/4,4,FM18is
1,2E0FWE,4,IO90bs
337,PD0FEW,4,JO33ge
14,DB0NMB-R,3,JO51wd
342,PD2RPS,3,JO22vw
97,DO5NL,3,JO43sk
396,ZL2005SWL,3,RE68mx
349,PE4A,3,JO22il
285,OH3MZ,3,KP11mk
217,KD2LZI,3,FN22vt
128,F5DJL,3,JN36cd
306,OZ1PFH,3,JO54tq
43,DG3LV,3,JO53gv
169,GM4BLO,3,IO75tv
291,OK1CT,3,JN69qq
287,OH6AC,3,KP12lx
212,K9TRV,3,EN82bi
274,OE6RHT,3,JN77sb
277,OE9RWH,3,JN57cg
205,K1VL,3,FN33om
263,N3AGE-2,3,FN30hw
302,ON6FV,3,JO11qa
220,KJ5HY,2,FN34fh
388,WF4V,2,FM18jr
7,56IGJF,2,FN42ed
233,M0HZE,2,IO81qw
161,G8NGR,2,IO91
145,G4DEU,2,IO81sl
165,GI0KMX,2,IO64uo
157,G7FPE,2,JO01bq
193,IK4PKL,2,JN64gb
77,DL2RN,2,JN68cd
154,G4SZM,2,IO81mi
151,G4LEN,2,IO81ut
373,VE3CWM,2,FN15xi
42,DG2BDU,2,JO43ho
130,G0IDE,2,IO83pq
180,HB9FZG,2,JN37tm
72,DL1GCD/8,2,JN58oh
166,GM0DYU,2,IO97bk
365,SWLFNS,2,FN20hu
199,IZ3EYY,2,JN55rs
282,OH3FR,2,KP20
8,9A/S50SVM,1,JN82iv
12,DA1TWD,1,JO31jf
361,SH7KAT,1,JO65
246,M7CWX,1,IO94hw
268,NL3EHV,1,JO21rk
222,KQ4WUH,1,FM05jl
223,KV4CW,1,EM96we
229,LB5MA,1,JP20kt
271,OE3ICA,1,JN88ah
56,DK5RH,1,JO54
69,DL1BOK,1,JO41ad
214,K9TRV-4,1,EN82bi
213,K9TRV-2,1,EN82bi
179,HB9FED,1,JN37um
386,WD4ELG,1,FM06be
384,WA2QZP,1,FN20pg
389,WS3W,1,FM19ng
3,2E0KMY,1,IO91kg
242,M1LCR,1,IO82nc
39,DF9GK,1,JO44xj
142,G3ZMS,1,IO90ww
160,G7VRD,1,IO81rl
156,G6JTB,1,IO83pr
162,G8ORM,1,IO93cu
313,PA0OCD/1,1,JO22li
327,PA3X,1,JO22of
101,DX1BY,1,JN69fh
135,G0PDR/1,1,IO81ww
329,PA4PGU,1,JO21xq
129,G0DUB,1,IO83oe
82,DL3ROB,1,JO62lj
81,DL3KBJ,1,JO30nr
336,PD0BTW,1,JO31
335,PC7A,1,JO33bg
383,W2NNN,1,FN20rq
110,EU1ST,1,KO33tu
100,DP0POL,1,IR32mu
17,DB3GW,1,JO43ge
19,DC1FN,1,JN49mr
28,DD4MN,1,JO61uc
392,YO2LOJ-WRX,1,KN05or
395,ZD7GB,1,IH74da
